Model,BATCH_SIZE,LR,WEIGHT_DECAY,NUM_EPOCHS,epoch,AP_50_95_all,AP_50_all,AP_75_all,AP_50_95_small,AP_50_95_medium,AP_50_95_large,AR_50_95_all_maxDets_1,AR_50_95_all_maxDets_10,AR_50_95_all_maxDets_100,AR_50_95_small_maxDets_100,AR_50_95_medium_maxDets_100,AR_50_95_large_maxDets_100
FasterRCNN,4,1.9558045576923222e-05,0.0044969658882665344,3,0,0.007266690909876767,0.028998202580549005,0.0019149854187209096,0.0,6.902178476790775e-05,0.019782271586569762,0.01740241026984543,0.04329316216924286,0.04855907780979827,0.0,0.009701492537313432,0.1268516709009185
FasterRCNN,4,0.00015569178561826062,0.007426395263904941,9,2,0.07837918285250405,0.21619000482279016,0.04331324124983994,2.9174192094894287e-06,0.022677003935920332,0.18678670622513133,0.11397694524495676,0.14874901755305214,0.14925988996594183,0.0006802721088435374,0.07092123396586451,0.30627973358705995
FasterRCNN,2,0.007945374724686729,0.0033080377996865854,1,0,0.022492129437179105,0.08332060832214594,0.004758755707047154,0.0,0.008532579501034325,0.04887115428491457,0.052639507466596805,0.08591826041393764,0.08606890227927691,0.0,0.04171477442805217,0.1736980635457793
FasterRCNN,4,0.0023122208868105354,0.0037569026563147824,1,0,0.06846335147709755,0.2057874751824908,0.023734635225942876,2.178435665348713e-07,0.017754818668983072,0.1670886364671649,0.09522530783337699,0.14245480744039823,0.1445965417867435,0.0001658374792703151,0.08198502267693282,0.27511059819195993
FasterRCNN,4,0.005302917699186592,1.9965832713933733e-05,3,2,0.09540582864588182,0.2089672376517068,0.07581981131276024,1.3913701656843594e-07,0.022588326237151492,0.23849225412770061,0.12268797484935812,0.14710505632695833,0.14718365208278755,0.0001658374792703151,0.05624670532419609,0.3303643724696356
FasterRCNN,8,5.947973770193118e-05,0.00234228097206112,3,0,0.015994824591562762,0.05141294566064023,0.005729036682066261,0.0,0.0007518159303792513,0.041924296879177606,0.03217841236573225,0.06871233953366518,0.07929656798532878,0.0,0.026767140734451283,0.18496719413353918
FasterRCNN,2,0.0016943510707123216,0.0003878798725989378,7,6,0.0925505142665012,0.21318730135788555,0.06756731709072857,0.0,0.017839190310524868,0.2421175653646981,0.12454807440398216,0.13905554100078593,0.13905554100078593,0.0,0.046540476954336434,0.32058879392212725
FasterRCNN,2,0.030835981129087326,0.0001317937713104395,2,0,0.04535340247031946,0.11523282015873611,0.030282398006450786,5.279902323684199e-07,0.003466702435224405,0.1628449295755384,0.08585276395074667,0.1393109772072308,0.14767487555671993,0.0004491017964071857,0.06511286089238846,0.3215030493802872
FasterRCNN,8,0.0027292104091367815,0.0064922283844027,5,2,0.05246650986783249,0.16258764641101003,0.014476960736856495,0.0,0.013318620394566782,0.14124803362472085,0.07885774168194917,0.12368352108986114,0.12499999999999997,0.0,0.05126297033853894,0.27996055226824457
FasterRCNN,4,0.03757526703886608,0.0025393467853897247,1,0,0.0016526652497254447,0.007793799028831275,0.0002789011295495747,0.0,5.4340828089841725e-05,0.0038580845332981764,0.008730678543358659,0.03152344773382238,0.035014409221902014,0.0,0.001624227182227811,0.1021448248720976
